,Store,Date,Sales
434077,13,2014-06-07,4408
434078,14,2014-06-07,4034
434079,15,2014-06-07,5760
434080,16,2014-06-07,5542
434081,17,2014-06-07,3064
434082,18,2014-06-07,4420
434083,19,2014-06-07,4708
434084,20,2014-06-07,6138
434085,21,2014-06-07,4951
434086,22,2014-06-07,3795
434087,23,2014-06-07,4370
434088,24,2014-06-07,6875
434089,25,2014-06-07,9017
434090,26,2014-06-07,5394
434091,27,2014-06-07,7705
434092,28,2014-06-07,2892
435180,1,2014-06-06,4957
435181,2,2014-06-06,5064
435182,3,2014-06-06,8015
435183,4,2014-06-06,10705
435184,5,2014-06-06,5884
435185,6,2014-06-06,6658
435186,7,2014-06-06,11061
435187,8,2014-06-06,5789
435188,9,2014-06-06,7976
435189,10,2014-06-06,6907
435190,11,2014-06-06,8649
435191,12,2014-06-06,7309
435192,13,2014-06-06,7027
435193,14,2014-06-06,6660
435194,15,2014-06-06,8476
435195,16,2014-06-06,9883
435196,17,2014-06-06,6699
435197,18,2014-06-06,7579
435198,19,2014-06-06,7084
435199,20,2014-06-06,8497
435200,21,2014-06-06,6801
435201,22,2014-06-06,5868
435202,23,2014-06-06,5799
435203,24,2014-06-06,10188
435204,25,2014-06-06,11044
435205,26,2014-06-06,7802
435206,27,2014-06-06,10653
435207,28,2014-06-06,6170
436295,1,2014-06-05,5278
436296,2,2014-06-05,5957
436297,3,2014-06-05,8018
436298,4,2014-06-05,10774
436299,5,2014-06-05,5247
436300,6,2014-06-05,5409
436301,7,2014-06-05,9786
436302,8,2014-06-05,6476
436303,9,2014-06-05,7192
436304,10,2014-06-05,6711
436305,11,2014-06-05,8078
436306,12,2014-06-05,7994
436307,13,2014-06-05,5582
436308,14,2014-06-05,6151
436309,15,2014-06-05,7580
436310,16,2014-06-05,9389
436311,17,2014-06-05,6982
436312,18,2014-06-05,7664
436313,19,2014-06-05,8106
436314,20,2014-06-05,10021
436315,21,2014-06-05,6133
436316,22,2014-06-05,5419
436317,23,2014-06-05,6271
436318,24,2014-06-05,9977
436319,25,2014-06-05,12066
436320,26,2014-06-05,8312
436321,27,2014-06-05,10638
436322,28,2014-06-05,6416
437410,1,2014-06-04,5229
437411,2,2014-06-04,7006
437412,3,2014-06-04,7768
437413,4,2014-06-04,10584
437414,5,2014-06-04,6056
437415,6,2014-06-04,5885
437416,7,2014-06-04,8848
437417,8,2014-06-04,7052
437418,9,2014-06-04,7814
437419,10,2014-06-04,6406
437420,11,2014-06-04,9281
437421,12,2014-06-04,9235
437422,13,2014-06-04,5621
437423,14,2014-06-04,6998
437424,15,2014-06-04,7080
437425,16,2014-06-04,9560
437426,17,2014-06-04,7497
437427,18,2014-06-04,7178
437428,19,2014-06-04,7385
437429,20,2014-06-04,8896
437430,21,2014-06-04,5779
437431,22,2014-06-04,5508
437432,23,2014-06-04,6407
437433,24,2014-06-04,9984
437434,25,2014-06-04,11801
437435,26,2014-06-04,8372
437436,27,2014-06-04,11825
437437,28,2014-06-04,6176
438525,1,2014-06-03,5614
438526,2,2014-06-03,5619
438527,3,2014-06-03,9614
438528,4,2014-06-03,11083
438529,5,2014-06-03,5732
438530,6,2014-06-03,6792
438531,7,2014-06-03,11509
438532,8,2014-06-03,7251
438533,9,2014-06-03,8225
438534,10,2014-06-03,6491
438535,11,2014-06-03,9521
438536,12,2014-06-03,9576
438537,13,2014-06-03,7053
438538,14,2014-06-03,7806
438539,15,2014-06-03,7805
438540,16,2014-06-03,9438
438541,17,2014-06-03,9096
438542,18,2014-06-03,7537
438543,19,2014-06-03,9048
438544,20,2014-06-03,9777
438545,21,2014-06-03,7180
438546,22,2014-06-03,5507
438547,23,2014-06-03,6360
438548,24,2014-06-03,10534
438549,25,2014-06-03,14094
438550,26,2014-06-03,8275
438551,27,2014-06-03,13131
438552,28,2014-06-03,7342
439640,1,2014-06-02,6071
439641,2,2014-06-02,7320
439642,3,2014-06-02,10912
439643,4,2014-06-02,13087
439644,5,2014-06-02,7860
439645,6,2014-06-02,8111
439646,7,2014-06-02,13694
439647,8,2014-06-02,8799
439648,9,2014-06-02,10768
439649,10,2014-06-02,9211
439650,11,2014-06-02,10142
439651,12,2014-06-02,12240
439652,13,2014-06-02,7982
439653,14,2014-06-02,8274
439654,15,2014-06-02,8456
439655,16,2014-06-02,11015
439656,17,2014-06-02,10499
439657,18,2014-06-02,9935
439658,19,2014-06-02,10696
439659,20,2014-06-02,11591
439660,21,2014-06-02,8949
439661,22,2014-06-02,6509
439662,23,2014-06-02,8870
439663,24,2014-06-02,14498
439664,25,2014-06-02,16344
439665,26,2014-06-02,10433
439666,27,2014-06-02,16037
439667,28,2014-06-02,9874
440755,1,2014-06-01,0
440756,2,2014-06-01,0
440757,3,2014-06-01,0
440758,4,2014-06-01,0
440759,5,2014-06-01,0
440760,6,2014-06-01,0
440761,7,2014-06-01,0
440762,8,2014-06-01,0
440763,9,2014-06-01,0
440764,10,2014-06-01,0
440765,11,2014-06-01,0
440766,12,2014-06-01,0
440767,13,2014-06-01,0
440768,14,2014-06-01,0
440769,15,2014-06-01,0
440770,16,2014-06-01,0
440771,17,2014-06-01,0
440772,18,2014-06-01,0
440773,19,2014-06-01,0
440774,20,2014-06-01,0
440775,21,2014-06-01,0
440776,22,2014-06-01,0
440777,23,2014-06-01,0
440778,24,2014-06-01,0
440779,25,2014-06-01,0
440780,26,2014-06-01,0
440781,27,2014-06-01,0
440782,28,2014-06-01,0
441870,1,2014-05-31,4985
441871,2,2014-05-31,2953
441872,3,2014-05-31,4725
441873,4,2014-05-31,11018
441874,5,2014-05-31,2026
441875,6,2014-05-31,3438
441876,7,2014-05-31,7692
441877,8,2014-05-31,2990
441878,9,2014-05-31,6444
441879,10,2014-05-31,5322
441880,11,2014-05-31,6383
441881,12,2014-05-31,5905
441882,13,2014-05-31,4695
441883,14,2014-05-31,3390
441884,15,2014-05-31,6328
441885,16,2014-05-31,6143
441886,17,2014-05-31,2897
441887,18,2014-05-31,5238
441888,19,2014-05-31,5450
441889,20,2014-05-31,5704
441890,21,2014-05-31,5053
441891,22,2014-05-31,4022
441892,23,2014-05-31,4040
441893,24,2014-05-31,7585
441894,25,2014-05-31,11137
441895,26,2014-05-31,6176
441896,27,2014-05-31,8390
441897,28,2014-05-31,3500
442985,1,2014-05-30,5407
442986,2,2014-05-30,5694
442987,3,2014-05-30,8510
442988,4,2014-05-30,13149
442989,5,2014-05-30,5858
442990,6,2014-05-30,6171
442991,7,2014-05-30,12695
442992,8,2014-05-30,5717
442993,9,2014-05-30,7724
442994,10,2014-05-30,6624
442995,11,2014-05-30,10152
442996,12,2014-05-30,8308
442997,13,2014-05-30,5823
442998,14,2014-05-30,7000
442999,15,2014-05-30,7332
443000,16,2014-05-30,9489
443001,17,2014-05-30,8027
443002,18,2014-05-30,9563
443003,19,2014-05-30,10554
443004,20,2014-05-30,8782
443005,21,2014-05-30,6026
443006,22,2014-05-30,6514
443007,23,2014-05-30,6244
443008,24,2014-05-30,12334
443009,25,2014-05-30,14941
443010,26,2014-05-30,9775
443011,27,2014-05-30,12334
443012,28,2014-05-30,6508
444100,1,2014-05-29,0
444101,2,2014-05-29,0
444102,3,2014-05-29,0
444103,4,2014-05-29,0
444104,5,2014-05-29,0
444105,6,2014-05-29,0
444106,7,2014-05-29,0
444107,8,2014-05-29,0
444108,9,2014-05-29,0
444109,10,2014-05-29,0
444110,11,2014-05-29,0
444111,12,2014-05-29,0
444112,13,2014-05-29,0
444113,14,2014-05-29,0
444114,15,2014-05-29,0
444115,16,2014-05-29,0
444116,17,2014-05-29,0
444117,18,2014-05-29,0
444118,19,2014-05-29,0
444119,20,2014-05-29,0
444120,21,2014-05-29,0
444121,22,2014-05-29,0
444122,23,2014-05-29,0
444123,24,2014-05-29,0
444124,25,2014-05-29,0
444125,26,2014-05-29,0
444126,27,2014-05-29,0
444127,28,2014-05-29,0
445215,1,2014-05-28,4616
445216,2,2014-05-28,5203
445217,3,2014-05-28,4925
445218,4,2014-05-28,11073
445219,5,2014-05-28,4613
445220,6,2014-05-28,5015
445221,7,2014-05-28,8845
445222,8,2014-05-28,5137
445223,9,2014-05-28,6645
445224,10,2014-05-28,5230
445225,11,2014-05-28,8386
445226,12,2014-05-28,6714
445227,13,2014-05-28,4943
445228,14,2014-05-28,5324
445229,15,2014-05-28,8601
445230,16,2014-05-28,8499
445231,17,2014-05-28,4992
445232,18,2014-05-28,6871
445233,19,2014-05-28,7701
445234,20,2014-05-28,8387
445235,21,2014-05-28,5495
445236,22,2014-05-28,4533
445237,23,2014-05-28,5754
445238,24,2014-05-28,8909
445239,25,2014-05-28,11434
445240,26,2014-05-28,7117
445241,27,2014-05-28,7281
445242,28,2014-05-28,5558
446330,1,2014-05-27,3971
446331,2,2014-05-27,4042
446332,3,2014-05-27,4651
446333,4,2014-05-27,7193
446334,5,2014-05-27,3849
446335,6,2014-05-27,4179
446336,7,2014-05-27,7925
446337,8,2014-05-27,5174
446338,9,2014-05-27,6037
446339,10,2014-05-27,5303
446340,11,2014-05-27,6818
446341,12,2014-05-27,5891
446342,13,2014-05-27,3745
446343,14,2014-05-27,4498
446344,15,2014-05-27,5281
446345,16,2014-05-27,6365
446346,17,2014-05-27,4779
446347,18,2014-05-27,5354
446348,19,2014-05-27,5759
446349,20,2014-05-27,6608
446350,21,2014-05-27,4786
446351,22,2014-05-27,4052
446352,23,2014-05-27,3807
446353,24,2014-05-27,6349
446354,25,2014-05-27,9716
446355,26,2014-05-27,4907
446356,27,2014-05-27,6469
446357,28,2014-05-27,4864
447445,1,2014-05-26,3912
447446,2,2014-05-26,4173
447447,3,2014-05-26,5458
447448,4,2014-05-26,7949
447449,5,2014-05-26,3736
447450,6,2014-05-26,5274
447451,7,2014-05-26,7687
447452,8,2014-05-26,4871
447453,9,2014-05-26,5037
447454,10,2014-05-26,6172
447455,11,2014-05-26,7172
447456,12,2014-05-26,5991
447457,13,2014-05-26,3438
447458,14,2014-05-26,4505
447459,15,2014-05-26,5229
447460,16,2014-05-26,6724
447461,17,2014-05-26,4708
447462,18,2014-05-26,5340
447463,19,2014-05-26,5649
447464,20,2014-05-26,7336
447465,21,2014-05-26,4450
447466,22,2014-05-26,3547
447467,23,2014-05-26,4494
447468,24,2014-05-26,5966
447469,25,2014-05-26,9780
447470,26,2014-05-26,5094
447471,27,2014-05-26,7462
447472,28,2014-05-26,5264
448560,1,2014-05-25,0
448561,2,2014-05-25,0
448562,3,2014-05-25,0
448563,4,2014-05-25,0
448564,5,2014-05-25,0
448565,6,2014-05-25,0
448566,7,2014-05-25,0
448567,8,2014-05-25,0
448568,9,2014-05-25,0
448569,10,2014-05-25,0
448570,11,2014-05-25,0
448571,12,2014-05-25,0
448572,13,2014-05-25,0
448573,14,2014-05-25,0
448574,15,2014-05-25,0
448575,16,2014-05-25,0
448576,17,2014-05-25,0
448577,18,2014-05-25,0
448578,19,2014-05-25,0
448579,20,2014-05-25,0
448580,21,2014-05-25,0
448581,22,2014-05-25,0
448582,23,2014-05-25,0
448583,24,2014-05-25,0
448584,25,2014-05-25,0
448585,26,2014-05-25,0
448586,27,2014-05-25,0
448587,28,2014-05-25,0
449675,1,2014-05-24,4574
449676,2,2014-05-24,2516
449677,3,2014-05-24,4236
449678,4,2014-05-24,9218
449679,5,2014-05-24,1888
449680,6,2014-05-24,3165
449681,7,2014-05-24,5452
449682,8,2014-05-24,2657
449683,9,2014-05-24,6528
449684,10,2014-05-24,5034
449685,11,2014-05-24,5785
449686,12,2014-05-24,6194
449687,13,2014-05-24,3652
449688,14,2014-05-24,3381
449689,15,2014-05-24,5481
449690,16,2014-05-24,4839
449691,17,2014-05-24,2609
449692,18,2014-05-24,3964
449693,19,2014-05-24,3822
449694,20,2014-05-24,5812
449695,21,2014-05-24,4879
449696,22,2014-05-24,3287
449697,23,2014-05-24,4070
449698,24,2014-05-24,5701
449699,25,2014-05-24,7681
449700,26,2014-05-24,4876
449701,27,2014-05-24,7525
449702,28,2014-05-24,2361
450790,1,2014-05-23,4968
450791,2,2014-05-23,4802
450792,3,2014-05-23,6619
450793,4,2014-05-23,8611
450794,5,2014-05-23,4818
450795,6,2014-05-23,5324
450796,7,2014-05-23,8719
450797,8,2014-05-23,4887
450798,9,2014-05-23,6776
450799,10,2014-05-23,5890
450800,11,2014-05-23,6059
450801,12,2014-05-23,7761
450802,13,2014-05-23,5902
450803,14,2014-05-23,6334
450804,15,2014-05-23,7173
450805,16,2014-05-23,8064
450806,17,2014-05-23,6070
450807,18,2014-05-23,7136
450808,19,2014-05-23,7235
450809,20,2014-05-23,8081
450810,21,2014-05-23,7577
450811,22,2014-05-23,5005
450812,23,2014-05-23,6288
450813,24,2014-05-23,9127
450814,25,2014-05-23,10088
450815,26,2014-05-23,7574
450816,27,2014-05-23,8405
450817,28,2014-05-23,6154
451905,1,2014-05-22,3801
451906,2,2014-05-22,4887
451907,3,2014-05-22,6899
451908,4,2014-05-22,8924
451909,5,2014-05-22,4669
451910,6,2014-05-22,6049
451911,7,2014-05-22,7348
451912,8,2014-05-22,6673
451913,9,2014-05-22,5849
451914,10,2014-05-22,5448
451915,11,2014-05-22,7011
451916,12,2014-05-22,7085
451917,13,2014-05-22,4345
451918,14,2014-05-22,5923
451919,15,2014-05-22,6468
451920,16,2014-05-22,7744
451921,17,2014-05-22,6035
451922,18,2014-05-22,5864
451923,19,2014-05-22,6419
451924,20,2014-05-22,8654
451925,21,2014-05-22,5271
451926,22,2014-05-22,4537
451927,23,2014-05-22,5142
451928,24,2014-05-22,8041
451929,25,2014-05-22,10285
451930,26,2014-05-22,6913
451931,27,2014-05-22,8926
451932,28,2014-05-22,6305
453020,1,2014-05-21,4298
453021,2,2014-05-21,5584
453022,3,2014-05-21,7139
453023,4,2014-05-21,8408
453024,5,2014-05-21,5035
453025,6,2014-05-21,5945
453026,7,2014-05-21,8214
453027,8,2014-05-21,5064
453028,9,2014-05-21,6174
453029,10,2014-05-21,5724
453030,11,2014-05-21,8058
453031,12,2014-05-21,8241
453032,13,2014-05-21,4902
453033,14,2014-05-21,5941
453034,15,2014-05-21,6036
453035,16,2014-05-21,7918
453036,17,2014-05-21,6390
453037,18,2014-05-21,6898
453038,19,2014-05-21,7464
453039,20,2014-05-21,8725
453040,21,2014-05-21,5708
453041,22,2014-05-21,4065
453042,23,2014-05-21,5386
453043,24,2014-05-21,9802
453044,25,2014-05-21,8867
453045,26,2014-05-21,6229
453046,27,2014-05-21,9526
453047,28,2014-05-21,5296
454135,1,2014-05-20,4909
454136,2,2014-05-20,5155
454137,3,2014-05-20,7828
454138,4,2014-05-20,8127
454139,5,2014-05-20,4986
454140,6,2014-05-20,6093
454141,7,2014-05-20,8857
454142,8,2014-05-20,6191
454143,9,2014-05-20,6740
454144,10,2014-05-20,6611
454145,11,2014-05-20,7805
454146,12,2014-05-20,8560
454147,13,2014-05-20,5849
454148,14,2014-05-20,6290
454149,15,2014-05-20,6551
454150,16,2014-05-20,9283
454151,17,2014-05-20,7512
454152,18,2014-05-20,6675
454153,19,2014-05-20,7254
454154,20,2014-05-20,9530
454155,21,2014-05-20,5975
454156,22,2014-05-20,4534
454157,23,2014-05-20,5589
454158,24,2014-05-20,9280
454159,25,2014-05-20,12091
454160,26,2014-05-20,6344
454161,27,2014-05-20,9810
454162,28,2014-05-20,6568
455250,1,2014-05-19,5637
455251,2,2014-05-19,6996
455252,3,2014-05-19,9011
455253,4,2014-05-19,11433
455254,5,2014-05-19,7560
455255,6,2014-05-19,7335
455256,7,2014-05-19,11953
455257,8,2014-05-19,7996
455258,9,2014-05-19,8557
455259,10,2014-05-19,7880
455260,11,2014-05-19,8886
455261,12,2014-05-19,10287
455262,13,2014-05-19,6331
455263,14,2014-05-19,8063
455264,15,2014-05-19,8142
455265,16,2014-05-19,9188
455266,17,2014-05-19,9550
455267,18,2014-05-19,8222
455268,19,2014-05-19,8126
455269,20,2014-05-19,9104
455270,21,2014-05-19,7252
455271,22,2014-05-19,5164
455272,23,2014-05-19,7624
455273,24,2014-05-19,11240
455274,25,2014-05-19,12177
455275,26,2014-05-19,8507
455276,27,2014-05-19,12108
455277,28,2014-05-19,8683
456365,1,2014-05-18,0
456366,2,2014-05-18,0
456367,3,2014-05-18,0
456368,4,2014-05-18,0
456369,5,2014-05-18,0
456370,6,2014-05-18,0
456371,7,2014-05-18,0
456372,8,2014-05-18,0
456373,9,2014-05-18,0
456374,10,2014-05-18,0
456375,11,2014-05-18,0
456376,12,2014-05-18,0
456377,13,2014-05-18,0
456378,14,2014-05-18,0
456379,15,2014-05-18,0
456380,16,2014-05-18,0
456381,17,2014-05-18,0
456382,18,2014-05-18,0
456383,19,2014-05-18,0
456384,20,2014-05-18,0
456385,21,2014-05-18,0
456386,22,2014-05-18,0
456387,23,2014-05-18,0
456388,24,2014-05-18,0
456389,25,2014-05-18,0
456390,26,2014-05-18,0
456391,27,2014-05-18,0
456392,28,2014-05-18,0
457480,1,2014-05-17,3785
457481,2,2014-05-17,2532
457482,3,2014-05-17,3485
457483,4,2014-05-17,9040
457484,5,2014-05-17,1698
457485,6,2014-05-17,3045
457486,7,2014-05-17,5486
457487,8,2014-05-17,2617
457488,9,2014-05-17,5333
457489,10,2014-05-17,4608
457490,11,2014-05-17,5483
457491,12,2014-05-17,5390
457492,13,2014-05-17,4467
457493,14,2014-05-17,3261
457494,15,2014-05-17,5056
457495,16,2014-05-17,4956
457496,17,2014-05-17,2563
457497,18,2014-05-17,4357
457498,19,2014-05-17,3980
457499,20,2014-05-17,5977
457500,21,2014-05-17,4887
457501,22,2014-05-17,3523
457502,23,2014-05-17,3390
457503,24,2014-05-17,6336
457504,25,2014-05-17,7720
457505,26,2014-05-17,5247
457506,27,2014-05-17,6321
457507,28,2014-05-17,2428
458595,1,2014-05-16,3863
458596,2,2014-05-16,3779
458597,3,2014-05-16,5744
458598,4,2014-05-16,7948
458599,5,2014-05-16,4208
458600,6,2014-05-16,4848
458601,7,2014-05-16,7111
458602,8,2014-05-16,3941
458603,9,2014-05-16,5806
458604,10,2014-05-16,5023
458605,11,2014-05-16,6464
458606,12,2014-05-16,5353
458607,13,2014-05-16,3797
458608,14,2014-05-16,4916
458609,15,2014-05-16,5293
458610,16,2014-05-16,7606
458611,17,2014-05-16,4692
458612,18,2014-05-16,5995
458613,19,2014-05-16,5544
458614,20,2014-05-16,6491
458615,21,2014-05-16,4236
458616,22,2014-05-16,3999
458617,23,2014-05-16,4303
458618,24,2014-05-16,7795
458619,25,2014-05-16,9250
458620,26,2014-05-16,5608
458621,27,2014-05-16,7198
458622,28,2014-05-16,4938
459710,1,2014-05-15,3589
459711,2,2014-05-15,4108
459712,3,2014-05-15,5190
459713,4,2014-05-15,7145
459714,5,2014-05-15,3996
459715,6,2014-05-15,4261
459716,7,2014-05-15,6722
459717,8,2014-05-15,4808
459718,9,2014-05-15,5650
459719,10,2014-05-15,4677
459720,11,2014-05-15,6872
459721,12,2014-05-15,6256
459722,13,2014-05-15,3563
459723,14,2014-05-15,5215
459724,15,2014-05-15,4851
459725,16,2014-05-15,6257
459726,17,2014-05-15,4727
459727,18,2014-05-15,5005
459728,19,2014-05-15,5313
459729,20,2014-05-15,8037
459730,21,2014-05-15,3485
459731,22,2014-05-15,3772
459732,23,2014-05-15,4011
459733,24,2014-05-15,7573
459734,25,2014-05-15,9606
459735,26,2014-05-15,4900
459736,27,2014-05-15,6792
459737,28,2014-05-15,5027
460825,1,2014-05-14,3710
460826,2,2014-05-14,4700
460827,3,2014-05-14,5142
460828,4,2014-05-14,7268
460829,5,2014-05-14,4207
460830,6,2014-05-14,4309
460831,7,2014-05-14,6696
460832,8,2014-05-14,5203
460833,9,2014-05-14,4589
460834,10,2014-05-14,5002
460835,11,2014-05-14,6876
460836,12,2014-05-14,5784
460837,13,2014-05-14,3566
460838,14,2014-05-14,4576
460839,15,2014-05-14,5276
460840,16,2014-05-14,7110
460841,17,2014-05-14,4928
460842,18,2014-05-14,5267
460843,19,2014-05-14,5552
460844,20,2014-05-14,7047
460845,21,2014-05-14,3424
460846,22,2014-05-14,3483
460847,23,2014-05-14,3831
460848,24,2014-05-14,7407
460849,25,2014-05-14,9049
460850,26,2014-05-14,4650
460851,27,2014-05-14,6270
460852,28,2014-05-14,4151
461940,1,2014-05-13,3535
461941,2,2014-05-13,3974
461942,3,2014-05-13,6174
461943,4,2014-05-13,7508
461944,5,2014-05-13,3710
461945,6,2014-05-13,4166
461946,7,2014-05-13,7974
461947,8,2014-05-13,4609
461948,9,2014-05-13,5398
461949,10,2014-05-13,5471
461950,11,2014-05-13,6525
461951,12,2014-05-13,5759
461952,13,2014-05-13,3301
461953,14,2014-05-13,4898
461954,15,2014-05-13,5108
461955,16,2014-05-13,6819
461956,17,2014-05-13,5127
461957,18,2014-05-13,5043
461958,19,2014-05-13,5376
461959,20,2014-05-13,6664
461960,21,2014-05-13,3928
461961,22,2014-05-13,3834
461962,23,2014-05-13,3968
461963,24,2014-05-13,6918
461964,25,2014-05-13,9156
461965,26,2014-05-13,3990
461966,27,2014-05-13,7814
461967,28,2014-05-13,4625
463055,1,2014-05-12,3957
463056,2,2014-05-12,3860
463057,3,2014-05-12,4367
463058,4,2014-05-12,8484
463059,5,2014-05-12,4123
463060,6,2014-05-12,4643
463061,7,2014-05-12,7233
463062,8,2014-05-12,4623
463063,9,2014-05-12,6028
463064,10,2014-05-12,4404
463065,11,2014-05-12,6606
463066,12,2014-05-12,5660
463067,13,2014-05-12,3136
463068,14,2014-05-12,5367
463069,15,2014-05-12,5631
463070,16,2014-05-12,7154
463071,17,2014-05-12,4992
463072,18,2014-05-12,5279
463073,19,2014-05-12,5430
463074,20,2014-05-12,7599
463075,21,2014-05-12,3592
463076,22,2014-05-12,3502
463077,23,2014-05-12,3723
463078,24,2014-05-12,6030
463079,25,2014-05-12,10957
463080,26,2014-05-12,4734
463081,27,2014-05-12,6600
463082,28,2014-05-12,4287
464170,1,2014-05-11,0
464171,2,2014-05-11,0
464172,3,2014-05-11,0
464173,4,2014-05-11,0
464174,5,2014-05-11,0
464175,6,2014-05-11,0
464176,7,2014-05-11,0
464177,8,2014-05-11,0
464178,9,2014-05-11,0
464179,10,2014-05-11,0
464180,11,2014-05-11,0
464181,12,2014-05-11,0
464182,13,2014-05-11,0
464183,14,2014-05-11,0
464184,15,2014-05-11,0
464185,16,2014-05-11,0
464186,17,2014-05-11,0
464187,18,2014-05-11,0
464188,19,2014-05-11,0
464189,20,2014-05-11,0
464190,21,2014-05-11,0
464191,22,2014-05-11,0
464192,23,2014-05-11,0
464193,24,2014-05-11,0
464194,25,2014-05-11,0
464195,26,2014-05-11,0
464196,27,2014-05-11,0
464197,28,2014-05-11,0
465285,1,2014-05-10,5996
465286,2,2014-05-10,2430
465287,3,2014-05-10,5868
465288,4,2014-05-10,10559
465289,5,2014-05-10,2350
465290,6,2014-05-10,3718
465291,7,2014-05-10,6518
465292,8,2014-05-10,2713
465293,9,2014-05-10,5898
465294,10,2014-05-10,4632
465295,11,2014-05-10,6672
465296,12,2014-05-10,6325
465297,13,2014-05-10,4346
465298,14,2014-05-10,3566
465299,15,2014-05-10,6451
465300,16,2014-05-10,5974
465301,17,2014-05-10,2753
465302,18,2014-05-10,4443
465303,19,2014-05-10,4617
465304,20,2014-05-10,5249
465305,21,2014-05-10,4852
465306,22,2014-05-10,3092
465307,23,2014-05-10,5676
465308,24,2014-05-10,7686
465309,25,2014-05-10,9394
465310,26,2014-05-10,5971
465311,27,2014-05-10,7836
465312,28,2014-05-10,2832
466400,1,2014-05-09,5237
466401,2,2014-05-09,5979
466402,3,2014-05-09,7499
466403,4,2014-05-09,10880
466404,5,2014-05-09,5883
466405,6,2014-05-09,5534
466406,7,2014-05-09,9399
466407,8,2014-05-09,5925
466408,9,2014-05-09,6718
466409,10,2014-05-09,6547
466410,11,2014-05-09,7915
466411,12,2014-05-09,8109
466412,13,2014-05-09,6095
466413,14,2014-05-09,6545
466414,15,2014-05-09,8042
466415,16,2014-05-09,8774
466416,17,2014-05-09,6997
466417,18,2014-05-09,7360
466418,19,2014-05-09,7919
466419,20,2014-05-09,7544
466420,21,2014-05-09,6119
466421,22,2014-05-09,5453
466422,23,2014-05-09,6946
466423,24,2014-05-09,10416
466424,25,2014-05-09,11575
466425,26,2014-05-09,7780
466426,27,2014-05-09,10857
466427,28,2014-05-09,6137
467515,1,2014-05-08,5222
467516,2,2014-05-08,5151
467517,3,2014-05-08,7396
467518,4,2014-05-08,9227
467519,5,2014-05-08,5410
467520,6,2014-05-08,5427
467521,7,2014-05-08,7583
467522,8,2014-05-08,5968
467523,9,2014-05-08,6325
467524,10,2014-05-08,6279
467525,11,2014-05-08,7690
467526,12,2014-05-08,7155
467527,13,2014-05-08,5544
467528,14,2014-05-08,6166
467529,15,2014-05-08,6647
467530,16,2014-05-08,8125
467531,17,2014-05-08,7493
467532,18,2014-05-08,7221
467533,19,2014-05-08,7896
467534,20,2014-05-08,9625
467535,21,2014-05-08,5627
467536,22,2014-05-08,5035
467537,23,2014-05-08,6392
467538,24,2014-05-08,7812
467539,25,2014-05-08,11907
467540,26,2014-05-08,8284
467541,27,2014-05-08,10654
467542,28,2014-05-08,6335
468630,1,2014-05-07,5075
468631,2,2014-05-07,6733
468632,3,2014-05-07,8435
468633,4,2014-05-07,9245
468634,5,2014-05-07,5795
468635,6,2014-05-07,6073
468636,7,2014-05-07,8654
468637,8,2014-05-07,5357
468638,9,2014-05-07,7271
468639,10,2014-05-07,6372
468640,11,2014-05-07,9180
468641,12,2014-05-07,8380
468642,13,2014-05-07,5887
468643,14,2014-05-07,6274
468644,15,2014-05-07,6643
468645,16,2014-05-07,8939
468646,17,2014-05-07,7810
468647,18,2014-05-07,6912
468648,19,2014-05-07,6889
468649,20,2014-05-07,7109
468650,21,2014-05-07,6939
468651,22,2014-05-07,4789
468652,23,2014-05-07,6030
468653,24,2014-05-07,10116
468654,25,2014-05-07,11239
468655,26,2014-05-07,7538
468656,27,2014-05-07,11423
468657,28,2014-05-07,6335
469745,1,2014-05-06,5055
469746,2,2014-05-06,5992
469747,3,2014-05-06,8925
469748,4,2014-05-06,9723
469749,5,2014-05-06,5777
469750,6,2014-05-06,6304
469751,7,2014-05-06,11540
469752,8,2014-05-06,7095
469753,9,2014-05-06,7348
469754,10,2014-05-06,6837
469755,11,2014-05-06,8936
469756,12,2014-05-06,8946
469757,13,2014-05-06,6402
469758,14,2014-05-06,6833
469759,15,2014-05-06,7946
469760,16,2014-05-06,10172
469761,17,2014-05-06,8397
469762,18,2014-05-06,7135
469763,19,2014-05-06,7782
469764,20,2014-05-06,9111
469765,21,2014-05-06,6570
469766,22,2014-05-06,5592
469767,23,2014-05-06,6645
469768,24,2014-05-06,10477
469769,25,2014-05-06,13437
469770,26,2014-05-06,7154
469771,27,2014-05-06,11906
469772,28,2014-05-06,7230
470860,1,2014-05-05,5325
470861,2,2014-05-05,7242
470862,3,2014-05-05,9327
470863,4,2014-05-05,11986
470864,5,2014-05-05,7446
470865,6,2014-05-05,7722
470866,7,2014-05-05,13594
470867,8,2014-05-05,8967
470868,9,2014-05-05,9326
470869,10,2014-05-05,7714
470870,11,2014-05-05,10348
470871,12,2014-05-05,10699
470872,13,2014-05-05,6934
470873,14,2014-05-05,7891
470874,15,2014-05-05,9044
470875,16,2014-05-05,11044
470876,17,2014-05-05,10149
470877,18,2014-05-05,8975
470878,19,2014-05-05,10215
470879,20,2014-05-05,10073
470880,21,2014-05-05,8317
470881,22,2014-05-05,6622
470882,23,2014-05-05,8297
470883,24,2014-05-05,12024
470884,25,2014-05-05,14455
470885,26,2014-05-05,10475
470886,27,2014-05-05,13920
470887,28,2014-05-05,9743
471975,1,2014-05-04,0
471976,2,2014-05-04,0
